zipcode,Cases,Population,Rate
94022,2914,19378,15038
94024,3187,23961,13301
94040,6122,35845,17079
94041,2500,14394,17368
94043,5167,31488,16409
94085,4874,23612,20642
94086,8592,49630,17312
94087,8908,57219,15568
94089,4706,22313,21091
94301,2739,17191,15933
94304,781,3902,20015
94305,1088,15730,6917
94306,4343,27549,15765
95002,618,2146,28798
95008,9860,46513,21198
95013,34,77,44156
95014,8462,62430,13554
95020,20312,63852,31811
95030,1817,13288,13674
95032,4659,26281,17728
95035,17240,77562,22227
95037,13471,51652,26080
95046,986,6025,16365
95050,9252,39452,23451
95051,11961,58123,20579
95053,254,3678,6906
95054,5761,24264,23743
95070,4537,31308,14492
95110,7262,20203,35945
95111,22163,62392,35522
95112,17279,61060,28298
95113,1144,1939,58999
95116,18587,56481,32908
95117,7747,29592,26179
95118,7962,32560,24453
95119,3036,10472,28992
95120,6602,37774,17478
95121,12349,38102,32410
95122,21275,57780,36821
95123,18654,67186,27765
95124,9639,51170,18837
95125,12968,53574,24206
95126,9812,35988,27265
95127,21411,65686,32596
95128,9686,37665,25716
95129,6789,39828,17046
95130,2579,14863,17352
95131,7126,31170,22862
95132,9308,41844,22245
95133,7821,28726,27226
95134,6020,27224,22113
95135,3806,22358,17023
95136,12933,47599,27171
95138,4577,20766,22041
95139,1702,7293,23337
95140,41,115,35652
95148,13567,48854,27770
